StateName,StateCode,DistrictName,DistrictCode,SubDistrictName,SubDistrictCode,Constituency,VillageName,VillageCode,Year,Month,Count,Min,Max,Mean,Median
WEST BENGAL ,19,,00,,0000,,,00000000,,,,,,,
WEST BENGAL ,19,Darjiling ,01,,0000,,,00000000,,,,,,,
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,,00000000,,,,,,,
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2008,1,25,-6.3529,5.0678,-0.2266,0.1149
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2008,2,24,-8.9420,10.7125,-1.0117,-0.6371
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2008,3,17,-6.1864,8.0000,0.0087,-0.3273
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2008,4,4,-2.9231,1.5862,-1.0038,-1.3392
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2008,9,7,-4.2500,3.1482,-0.4322,0.0000
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2008,10,19,-3.5190,0.9091,-0.8727,-0.3837
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2008,11,26,-7.7241,3.3790,-2.1428,-1.7887
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2008,12,17,-6.0714,2.1778,-0.9089,-0.7356
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2009,1,26,-6.7790,2.6970,-1.2349,-0.6258
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2009,2,18,-8.2542,7.6452,-0.3323,-0.8095
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2009,3,2,-2.0577,0.3864,-0.8356,-0.8357
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2009,9,3,-1.6250,-0.4783,-1.1626,-1.3846
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2009,10,10,-4.2533,2.4074,-1.1323,-1.8913
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2009,11,19,-4.4524,1.9780,-1.0568,-0.7093
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2009,12,17,-3.8267,0.8919,-0.4683,-0.4000
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,1,31,-9.4343,10.0759,-1.6649,-2.1354
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,2,21,-3.7042,11.2817,0.0648,-0.7722
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,3,15,-5.5921,8.4808,-1.0720,-1.4651
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,4,9,-6.1177,7.1515,-1.2367,-3.5714
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,8,1,-2.4000,-2.4000,-2.4000,-2.4000
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,9,12,-2.0882,16.0602,2.3824,1.3053
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,10,19,-9.0854,4.5181,-1.1760,-1.0577
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,11,28,-6.5357,10.6282,1.2240,1.0118
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2010,12,28,-5.5400,4.9293,-0.7155,-0.6855
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,1,30,-5.2680,18.1868,0.4641,-0.1762
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,2,26,-7.4651,10.4857,-0.3088,-0.2046
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,3,24,-6.8202,3.4647,-1.0251,-1.1252
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,4,13,-3.5645,4.1765,-0.5208,-1.3793
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,8,2,0.8182,1.8333,1.3257,1.3258
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,9,13,-3.6970,7.1563,0.8762,0.7027
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,10,24,-5.8116,1.7375,-1.1395,-0.7619
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,11,24,-3.3918,5.5816,-0.1420,-0.1990
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,12,29,-4.5895,3.3409,-0.9970,-0.7216
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,1,29,-4.1900,5.4565,-0.6334,-0.6782
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,2,25,-7.5667,3.1512,-1.9085,-1.5806
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,3,20,-3.4512,13.7971,1.7329,-0.4360
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,4,15,-2.6596,4.6667,0.4577,0.0870
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,8,3,-4.5122,19.9583,7.6683,7.5588
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,9,15,-3.6667,3.1687,-0.4621,-0.8136
